translation_key,translation_source_lang,translated_text_vi,translation_model
012a10b2c1b97bf8880bf91dd0333f1a4a4c36f252016c9b17174bf634325244,ko,"Nơi đẹp, cà phê đen đắt tiền, ngon, không có kết quả thẻ.",facebook/nllb-200-distilled-600M
04383362be62ff0c106d1cfad8e94de9aa23f028f134e38702268edba1976758,en,Được rồi.,facebook/nllb-200-distilled-600M
06eb6f08f8526b9e9d710119372d0a9a26bced5f407081b1dd34171663f1af5e,ko,Nhà thơ.,facebook/nllb-200-distilled-600M
0a167d842eb4e221a46c216739a53e72be9beadb39edf36b279316ab66f34d95,en,Phong cảnh đẹp,facebook/nllb-200-distilled-600M
0ec6be4e1e6c89d8ff4cafc58aadc0b1882f65fd6cfcc74c1bbea13a25274e0a,en,"Thực phẩm chất lượng trung bình, nhưng tầm nhìn tuyệt vời từ nhà hàng!",facebook/nllb-200-distilled-600M
1c5d6b8f7f910ec7f4845f7d5da85869003eb25833093512aa71d287f627b1e7,en,Địa điểm tốt cho tầm nhìn về thung lũng,facebook/nllb-200-distilled-600M
217ea9c4d83aea910fa725c289ae7ebf1af039b3d36859a2590e766b6d7d7f71,ko,Bạn nên nghỉ ngơi khi xem cảnh quan. Cà phê ngô cũng rất ngon.,facebook/nllb-200-distilled-600M
26512266c8170dab098348c38de4a35fcceb5ed201b37551f65392e08ed97178,en,Nơi thư giãn,facebook/nllb-200-distilled-600M
27637b25c2303b53c363e16dade95a6b630640779e6c9f1bbf799408dbf83e00,ko,"Đây là một quán cà phê, đây là một quán cà phê, đây là một quán cà phê, đây là một quán cà phê, đây là quán cà phê, đây là quán cà phê, đây là quán cà phê, đây là quán cà phê, đây là quán cà phê, đây là quán cà phê, đây là quán cà phê, đây là quán cà phê, đây là quán cà phê, đây là quán cà phê, đây là quán cà phê, đây là quán cà phê, đây là quán cà phê, đây là quán cà phê, đây là quán cà phê, đây là quán cà phê, đây là quán cà phê, đây là quán cà phê, đây là quán cà phê, đây là quán cà phê, đây là quán cà phê.",facebook/nllb-200-distilled-600M
2889a2f729eb20611fcd22d76641aa8c2e7e4a902a9be0cbf16bf193f43f4276,en,"Thực phẩm tuyệt vời, dịch vụ và nơi hoàn hảo cho một bữa tối hoàng hôn!",facebook/nllb-200-distilled-600M
2ca330b6b769bcbcf39a5c22827ad22276579892de6b72bf48e64bdf1290d4f6,en,Một cảnh quan tuyệt vời với một cà phê ngon ngay trước khi bạn bước vào thành phố Da Lat.,facebook/nllb-200-distilled-600M
32a52b59d6eda169b1066fe518d07852a8f369d2c8e9e1f94ba78990ee839fc0,ko,"Có nhiều khách hàng trong gia đình, và có một bãi đậu xe xe xe đạp.",facebook/nllb-200-distilled-600M
32f0a59bbce7eea7e023b4589d2100d90b4d4a294377a71c213507a8468f1675,en,Một nơi tốt để thư giãn.,facebook/nllb-200-distilled-600M
4531c5f10dc8d3f9f4b342b0e3fa37a7f6e524493ca42a83c886fa1e946dbd4d,ru,"Đây là một quán cà phê rất thú vị với những cái nhìn tuyệt vời về những ngọn núi, thung lũng bên dưới. Lúc đầu chúng tôi đã nghĩ đến việc đi xuống một địa điểm khác, nhưng bước xuống là quá ngốc và dài, và chúng tôi đã nhìn vào đây. Và chúng tôi hoàn toàn không hối tiếc. Đây là một quán cà phê có 5 loại. Và đây là một quán cà phê đa cấp, với một vài sân nhà, các giải pháp nội thất khác nhau. Có vẻ như mọi thứ đều được thực hiện với tình yêu và sự chú ý. Có một góc bên dưới  với một chiếc TV cũ và một chiếc điện thoại. Nói chung, bạn có thể tìm thấy một góc với mọi hương vị và màu sắc.",facebook/nllb-200-distilled-600M
4ac532812c201e25fd999700bd5067d22e7e0a9acbcbabadd22b7bc8a3980bbd,en,"Nhìn cảnh đẹp, nhân viên tốt, cà phê và thức ăn tốt",facebook/nllb-200-distilled-600M
